county,total_registered,voted,void,neutral,suffrage,perct_turnout,biram,kane,ghazouani,wavi,mewloud,boubacar
Afrique,8178.0,4068.0,125.0,50.0,3893.0,0.4974321349963316,1009,250,1188,52,94,1300
Akjoujt,9661.0,5933.0,95.0,64.0,5774.0,0.614118621260739,300,288,3422,14,128,1622
Aleg,52156.0,32328.0,935.0,137.0,31256.0,0.6198328092645141,2324,286,20143,49,427,8027
Amourj,35019.0,20004.0,670.0,68.0,19266.0,0.571232759359205,712,84,16804,56,44,1566
Aoujeft,9479.0,5786.0,70.0,24.0,5692.0,0.6104019411330309,75,21,4395,9,396,796
Arafat,64009.0,46354.0,1289.0,508.0,44557.0,0.7241794122701495,7486,2859,19730,318,1725,12439
Asie,5275.0,2136.0,24.0,19.0,2093.0,0.4049289099526066,29,16,1564,14,62,408
Atar,26215.0,15510.0,532.0,138.0,14840.0,0.5916460041960709,1237,190,9563,38,181,3631
Aïoun,31378.0,18351.0,451.0,52.0,17848.0,0.5848365096564472,897,40,12673,80,379,3779
Bababé,15596.0,10139.0,263.0,328.0,9548.0,0.6501025904077968,1121,4378,3487,16,63,483
Barkéol,30421.0,16714.0,602.0,59.0,16053.0,0.5494230958877091,3586,203,9974,30,632,1628
Bassiknou,22628.0,11476.0,316.0,50.0,11110.0,0.5071592716987803,580,106,8990,53,132,1249
Bennechab,7038.0,3681.0,98.0,30.0,3553.0,0.5230179028132992,453,184,2237,5,52,622
Bir Moghrein,3349.0,1772.0,63.0,30.0,1679.0,0.5291131681098835,128,9,1199,4,32,307
Boghé,29358.0,20245.0,551.0,482.0,19212.0,0.6895905715648205,3834,7433,5820,41,346,1738
Boumdeid,6573.0,5077.0,35.0,19.0,5023.0,0.7724022516354785,68,5,4671,5,30,244
Boutilimit,41884.0,27267.0,625.0,194.0,26448.0,0.6510123197402349,754,76,18952,47,688,5931
Chami,10422.0,3479.0,83.0,53.0,3343.0,0.33381308769909807,441,39,1818,13,55,977
Chinguitti,6142.0,2472.0,63.0,9.0,2400.0,0.40247476392054704,167,16,1611,13,207,386
Dar Naïm,36700.0,24953.0,900.0,303.0,23750.0,0.6799182561307902,6327,1455,8927,61,835,6145
Djiguenni,25114.0,15143.0,438.0,30.0,14675.0,0.6029704547264474,246,31,12338,36,68,1956
El Mina,40253.0,30976.0,1047.0,543.0,29386.0,0.769532705636847,13193,6619,5985,56,391,3142
Europe,7004.0,4044.0,62.0,23.0,3959.0,0.577384351798972,1629,1204,801,3,129,193
F'Deirick,8883.0,4903.0,177.0,48.0,4678.0,0.5519531689744456,581,74,2665,21,73,1264
Ghabou,17736.0,12100.0,553.0,192.0,11355.0,0.6822282363554353,3786,1907,4695,20,116,831
Guerou,25334.0,12557.0,639.0,32.0,11886.0,0.49565800899976314,1648,95,7109,33,67,2934
Kankoussa,21721.0,12136.0,359.0,59.0,11718.0,0.5587219741264214,2534,295,7564,33,204,1088
Kaédi,40395.0,29128.0,985.0,489.0,27654.0,0.7210793415026612,9038,9620,7101,59,395,1433
Keur Macène,23080.0,13683.0,424.0,111.0,13148.0,0.5928509532062392,2063,35,7758,23,274,2995
Kiffa,48667.0,25641.0,861.0,136.0,24644.0,0.5268662543407236,2866,323,17957,102,485,2911
Koubenni,35502.0,19284.0,614.0,84.0,18586.0,0.5431806658779788,1470,300,12456,84,630,3646
Ksar,34781.0,21912.0,747.0,304.0,20861.0,0.6299991374601075,3862,923,9623,87,971,5395
M'Bagne,14961.0,10276.0,263.0,290.0,9723.0,0.6868524831227859,2296,4684,2279,28,78,358
M'Bout,33355.0,18905.0,654.0,149.0,18102.0,0.5667815919652226,7742,1001,7629,49,661,1020
Maghama,17830.0,12281.0,422.0,238.0,11621.0,0.6887829500841278,2747,4093,4093,30,250,408
Magtalahjar,35919.0,22030.0,748.0,113.0,21169.0,0.613324424399343,1068,55,14309,26,377,5334
Mederdra,23691.0,14866.0,417.0,135.0,14314.0,0.6274956734624964,806,85,9109,37,268,4009
Monguel,16512.0,8737.0,371.0,69.0,8297.0,0.5291303294573644,1820,612,4790,19,487,569
Moudjeria,20732.0,13003.0,256.0,93.0,12654.0,0.6271946748987073,610,34,9124,22,276,2588
N'beiket Lahwach,5586.0,3426.0,74.0,9.0,3343.0,0.6133190118152524,41,3,3064,34,11,190
Nouadhibou,62506.0,45452.0,926.0,438.0,44088.0,0.7271621924295267,15146,5496,12430,260,1020,9736
Néma,39475.0,25284.0,735.0,82.0,24467.0,0.6405066497783407,812,94,19286,514,78,3683
Ouad Naga,33508.0,19689.0,449.0,297.0,18943.0,0.5875910230392742,1102,96,10920,43,457,6325
Ouadane,2703.0,1645.0,16.0,7.0,1622.0,0.608583055863855,29,1,1386,1,8,197
Oualata,5089.0,3044.0,57.0,20.0,2967.0,0.5981528787581057,26,1,2403,22,8,507
Ould Yengé,23231.0,14747.0,449.0,128.0,14170.0,0.6347983298179157,4253,1408,7219,18,171,1101
R'Kiz,38639.0,23733.0,815.0,212.0,22706.0,0.6142239705996532,4758,1406,12314,22,468,3738
Riyad,35043.0,25751.0,869.0,421.0,24461.0,0.7348400536483749,9942,5576,5174,59,551,3161
Rosso,25911.0,17967.0,580.0,142.0,17245.0,0.693412064374204,7748,1114,6055,30,215,2083
Sebkha,31937.0,22021.0,780.0,386.0,20855.0,0.6895137301562451,9795,7018,2720,35,304,983
Sélibaby,32513.0,22353.0,956.0,253.0,21144.0,0.6875096115399993,8092,3146,7540,35,242,2089
Tamcheket,16234.0,11473.0,188.0,23.0,11262.0,0.7067266231366268,399,25,9449,18,74,1297
Tevragh Zeina,52416.0,32363.0,868.0,474.0,31021.0,0.6174259768009768,6398,2183,13036,184,2139,7090
Teyaret,35129.0,22050.0,596.0,266.0,21188.0,0.6276865268012184,3808,985,8493,144,1099,6659
Tichit,2510.0,1837.0,20.0,8.0,1809.0,0.7318725099601594,12,2,1594,5,20,176
Tidjikja,19841.0,12358.0,273.0,51.0,12034.0,0.6228516707827226,483,37,8749,17,890,1858
Timbedra,30815.0,17024.0,519.0,77.0,16428.0,0.5524582184001298,460,48,12578,84,253,3005
Tintane,41849.0,22723.0,596.0,84.0,22043.0,0.5429759372983822,655,260,17772,84,347,2925
Toujounine,47058.0,29248.0,872.0,255.0,28121.0,0.6215308767903438,4868,336,11635,329,1199,9754
Zoueratt,19188.0,14056.0,335.0,96.0,13625.0,0.7325411715655618,2296,1753,4942,52,433,4149
